2.86,-9.30,1.53,23804
2.75,-8.43,1.41,22544
2.31,-10.20,1.61,21620
0.39,-7.69,1.88,19152
2.16,-11.14,1.45,22628
3.69,-9.65,1.53,21500
2.16,-9.30,1.33,19052
2.51,-9.34,2.04,22636
1.84,-9.96,1.69,21672
1.88,-9.53,1.73,19060
2.51,-10.20,1.49,22700
2.35,-9.61,2.31,21728
2.16,-9.77,2.00,19068
2.20,-9.30,1.96,22548
1.37,-9.69,1.49,21540
1.88,-9.38,1.37,18924
2.86,-9.41,1.57,22624
2.16,-10.24,1.10,21592
2.12,-9.49,1.57,18940
2.00,-9.30,1.57,22532
2.51,-9.10,1.61,21428
2.47,-9.18,1.73,18932
2.82,-9.96,2.31,30512
2.59,-10.08,2.08,18280
2.71,-9.65,1.49,19756
2.90,-9.34,1.77,24988
2.28,-9.89,0.90,18236
2.08,-9.92,1.61,19892
2.28,-9.96,1.06,25024
2.20,-10.04,0.78,18204
1.45,-9.69,1.06,19924
2.79,-9.10,2.39,25064
2.00,-9.49,1.14,18216
2.43,-9.81,1.53,19848
2.24,-10.20,1.77,25028
2.28,-10.12,1.53,18244
3.02,-9.77,2.31,19948
2.39,-9.49,1.61,25052
2.31,-10.12,1.61,18276
2.24,-9.61,1.37,19948
2.04,-9.85,1.26,25100
1.88,-9.77,1.53,18260
2.63,-9.65,1.96,19892
2.82,-9.34,1.80,25048
2.75,-10.00,1.65,23780
2.79,-9.61,1.84,22568
2.67,-10.16,3.41,21648
1.84,-9.26,1.80,19120
2.63,-8.83,2.04,22496
1.80,-9.57,1.33,21680
0.82,-8.94,1.69,19144
1.57,-8.98,0.90,22456
2.04,-9.96,1.57,21588
2.16,-9.69,1.61,19116
2.55,-9.49,1.49,22488
3.26,-8.75,0.59,21452
2.51,-10.63,1.49,19128
2.47,-10.36,2.31,22580
2.00,-10.12,1.96,21724
2.08,-9.92,1.84,19160
2.43,-9.41,1.49,22540
1.88,-9.38,1.84,21676
1.80,-9.45,1.61,19044
2.47,-10.00,1.49,22584
2.94,-10.28,0.75,21640
1.96,-10.94,1.33,19144
2.04,-8.39,1.61,30660
2.39,-10.20,2.79,18268
3.69,-10.12,1.77,19952
2.04,-10.12,2.43,25176
1.73,-9.45,2.00,18252
1.92,-9.81,1.45,19900
2.98,-8.47,2.04,25240
2.51,-9.06,1.92,18272
2.63,-9.26,1.88,19916
2.24,-9.38,1.41,25072
2.47,-9.69,1.45,18264
2.47,-9.73,1.84,19928
1.88,-9.45,1.53,25208
2.00,-9.89,1.88,18188
2.35,-10.43,2.43,19904
2.43,-9.49,2.51,25088
1.92,-9.65,1.77,18144
2.51,-8.87,2.16,19888
3.65,-8.16,2.51,25252
2.79,-8.83,1.69,18196
3.53,-10.32,1.49,19748
2.82,-9.89,1.77,25112
1.77,-12.43,1.06,40280
1.57,-12.12,1.14,24264
0.78,-10.94,0.71,21556
1.53,-9.22,0.39,24920
1.26,-9.65,-0.55,25372
2.12,-9.61,0.55,25272
2.08,-10.83,2.55,27768
2.47,-9.61,2.59,25204
2.47,-10.00,2.04,19752
2.16,-10.08,1.80,20800
1.53,-9.96,0.78,20956
0.71,-10.08,0.98,20996
2.28,-9.14,1.73,24904
1.92,-9.02,1.10,24144
2.35,-8.55,1.61,21648
2.55,-9.30,1.73,25036
1.84,-9.30,1.73,24112
2.24,-9.26,1.65,21660
1.69,-9.96,2.16,25184
1.57,-9.57,1.77,24248
1.33,-9.92,2.67,21732
1.77,-9.96,1.65,25220
1.92,-9.69,3.37,29052
1.77,-9.89,1.65,22404
2.04,-10.24,1.49,27712
2.12,-10.32,1.73,20836
1.53,-10.28,1.69,22496
1.69,-9.89,1.33,27864
1.22,-9.85,1.80,20816
1.61,-9.81,2.08,22504
2.24,-9.26,1.96,27700
2.20,-9.30,1.69,20828
1.41,-9.89,1.26,22400
2.20,-9.81,2.20,27876
1.26,-9.89,1.10,20812
1.92,-9.92,1.45,22488
1.84,-9.85,1.29,27740
2.31,-10.24,1.80,20736
2.31,-10.16,1.84,22460
2.35,-10.00,2.04,27900
1.84,-9.45,1.92,20844
2.08,-9.61,1.96,22404
1.10,-9.65,2.08,27780
2.24,-10.04,1.61,20776
1.69,-9.18,1.69,30772
1.29,-9.61,1.73,24192
2.12,-9.96,2.16,21632
1.80,-9.81,1.92,25044
1.53,-9.85,1.73,24212
1.73,-9.57,1.96,21588
0.94,-8.28,2.35,25140
1.57,-10.08,1.49,24276
2.35,-9.45,0.94,21692
1.77,-9.14,2.24,25156
2.28,-9.49,1.92,24192
1.69,-9.26,1.45,21632
1.65,-9.81,1.53,25220
2.04,-10.12,1.61,24136
2.31,-9.96,1.02,21676
2.20,-9.57,2.47,25132
2.08,-9.65,1.33,24132
2.24,-9.41,2.08,21624
1.92,-9.26,1.69,25388
1.22,-14.71,1.06,24252
2.04,-9.57,1.73,21676
2.67,-9.77,1.49,25040
0.94,-9.45,1.69,28900
1.69,-10.40,1.57,22408
1.61,-10.63,1.84,27660
1.41,-10.40,1.45,20820
2.12,-8.67,1.41,22444
1.41,-8.51,1.92,27684
2.28,-9.14,1.77,20796
2.16,-8.59,2.08,22440
2.00,-10.24,1.33,27760
1.41,-10.12,1.61,20748
3.10,-9.57,1.73,22456
2.28,-9.18,1.41,27704
2.24,-9.65,2.04,20808
1.10,-9.89,2.20,22244
3.06,-8.83,2.31,27532
1.33,-10.08,1.26,20708
0.86,-11.85,2.04,22464
1.26,-11.69,1.49,27664
3.69,-10.67,2.43,20840
2.24,-10.04,1.41,22376
2.24,-8.39,1.53,27600
